UserId,ItemId,Rating
659,735,3.0
200,1217,4.0
554,526,4.0
621,8,5.0
334,762,3.0
347,240,5.0
72,203,3.0
313,740,2.0
57,126,3.0
130,111,5.0
932,183,4.0
184,67,3.0
315,156,5.0
25,501,3.0
356,292,3.0
864,286,5.0
831,688,1.0
655,1070,4.0
416,251,5.0
450,610,4.0
207,68,2.0
145,1217,2.0
16,51,4.0
721,877,3.0
894,740,4.0
645,87,4.0
85,416,3.0
160,201,5.0
120,117,3.0
620,281,5.0
324,331,4.0
524,508,5.0
28,195,4.0
392,463,3.0
140,873,2.0
883,68,4.0
387,198,4.0
295,1050,5.0
276,561,2.0
346,1188,1.0
452,427,4.0
255,743,1.0
296,180,5.0
532,419,5.0
490,1067,2.0
943,274,3.0
653,474,4.0
65,65,3.0
177,960,3.0
582,760,3.0
492,64,4.0
903,443,5.0
880,1095,3.0
59,179,5.0
325,640,3.0
437,275,5.0
219,215,5.0
145,1046,4.0
653,300,4.0
271,614,4.0
847,411,1.0
493,168,5.0
95,509,4.0
844,56,4.0
144,1142,5.0
393,1181,3.0
825,406,2.0
844,90,3.0
78,301,5.0
659,187,5.0
618,2,2.0
804,546,3.0
773,264,2.0
391,237,4.0
234,1133,3.0
922,1110,4.0
468,89,4.0
417,212,1.0
330,845,5.0
344,79,4.0
610,317,3.0
828,512,5.0
295,39,4.0
345,54,3.0
554,82,4.0
791,301,3.0
457,226,3.0
693,664,2.0
21,281,2.0
865,268,4.0
378,5,3.0
592,245,1.0
5,455,4.0
521,1014,3.0
158,514,3.0
206,260,3.0
477,25,5.0
503,526,3.0
537,177,3.0
640,941,5.0
517,873,3.0
13,23,5.0
94,47,5.0
234,280,3.0
303,271,2.0
405,1338,1.0
622,47,3.0
116,307,3.0
624,272,5.0
739,498,4.0
878,153,5.0
425,358,4.0
144,181,4.0
855,512,4.0
500,215,1.0
832,258,3.0
650,175,4.0
264,100,5.0
125,388,2.0
393,411,2.0
387,107,3.0
389,109,3.0
648,288,4.0
234,732,2.0
658,55,4.0
642,58,3.0
774,194,3.0
94,38,2.0
5,200,2.0
773,1,3.0
70,1145,3.0
313,208,3.0
699,121,3.0
23,655,3.0
270,928,4.0
891,742,4.0
738,188,3.0
193,294,1.0
541,111,1.0
177,186,4.0
871,575,5.0
696,748,1.0
602,50,5.0
193,410,3.0
457,401,3.0
59,241,4.0
621,1118,3.0
498,202,3.0
881,1164,1.0
223,95,5.0
314,53,1.0
940,7,4.0
532,339,5.0
7,9,5.0
788,328,4.0
524,127,5.0
214,294,3.0
95,95,3.0
191,315,5.0
467,298,4.0
91,204,4.0
679,423,3.0
474,418,3.0
189,21,2.0
535,1166,4.0
320,685,4.0
274,471,4.0
472,420,3.0
893,69,5.0
203,304,3.0
561,1021,4.0
513,50,5.0
770,748,5.0
885,245,2.0
177,527,4.0
54,676,5.0
830,71,4.0
284,748,3.0
422,293,3.0
380,228,3.0
110,326,4.0
406,575,1.0
99,895,3.0
332,222,4.0
724,302,3.0
178,480,3.0
618,24,2.0
794,515,5.0
807,1133,3.0
907,340,2.0
655,655,3.0
826,336,4.0
361,100,5.0
13,432,4.0
198,218,3.0
864,168,4.0
890,133,5.0
693,636,1.0
276,597,3.0
43,313,5.0
911,465,5.0
889,607,4.0
561,182,3.0
672,275,5.0
311,794,4.0
883,1462,5.0
342,100,5.0
586,250,3.0
222,88,4.0
377,194,5.0
10,482,4.0
643,496,4.0
822,408,5.0
535,268,3.0
748,451,1.0
839,319,1.0
480,294,1.0
659,96,4.0
189,513,4.0
293,50,5.0
38,447,5.0
69,151,5.0
361,47,4.0
919,418,4.0
592,1609,1.0
277,7,2.0
158,483,5.0
618,955,2.0
98,47,4.0
92,184,3.0
608,693,3.0
496,659,3.0
894,147,3.0
716,160,2.0
276,316,4.0
785,294,4.0
586,68,4.0
723,433,3.0
885,169,5.0
95,483,3.0
87,845,4.0
178,520,5.0
551,203,5.0
561,371,1.0
626,266,1.0
881,515,4.0
339,380,3.0
756,383,3.0
233,660,5.0
790,926,2.0
655,520,3.0
773,212,2.0
141,257,3.0
747,648,5.0
252,129,4.0
464,358,3.0
379,575,2.0
749,194,5.0
387,651,2.0
460,311,5.0
425,355,3.0
349,847,4.0
320,62,4.0
109,411,4.0
405,593,1.0
227,93,5.0
314,1047,4.0
437,433,3.0
727,100,2.0
886,405,3.0
158,125,3.0
514,1600,4.0
248,50,5.0
393,953,4.0
504,371,3.0
859,257,2.0
876,286,5.0
645,22,4.0
64,174,5.0
640,1228,4.0
749,472,4.0
85,211,5.0
172,463,4.0
659,649,3.0
912,602,5.0
398,167,3.0
846,463,5.0
374,82,4.0
749,678,2.0
753,180,2.0
184,387,4.0
250,1199,3.0
387,642,4.0
117,475,5.0
59,100,5.0
298,204,4.0
533,15,4.0
655,503,3.0
637,151,5.0
682,128,4.0
882,416,4.0
216,357,4.0
275,176,4.0
892,825,4.0
912,143,5.0
21,234,5.0
280,284,3.0
381,99,5.0
268,466,3.0
14,210,5.0
744,276,4.0
87,401,2.0
543,1524,4.0
95,173,5.0
524,654,5.0
297,367,2.0
847,79,4.0
407,1263,2.0
450,433,3.0
405,624,4.0
309,1025,5.0
532,204,5.0
210,832,3.0
919,676,4.0
72,215,4.0
523,662,4.0
102,88,3.0
270,88,5.0
806,952,2.0
298,496,5.0
56,993,3.0
554,229,3.0
889,188,5.0
804,514,4.0
381,588,3.0
286,47,4.0
846,98,4.0
934,269,2.0
398,73,3.0
