UserId,MovieId,Rating
1,1836,5.0
1,1287,5.0
1,1022,5.0
1,919,4.0
1,260,4.0
1,1097,4.0
1,588,4.0
1,1,5.0
1,2294,4.0
1,1907,4.0
1,1197,3.0
2,1198,4.0
2,1917,3.0
2,1213,2.0
2,1188,4.0
2,780,3.0
2,459,3.0
2,3068,4.0
2,368,4.0
2,3107,2.0
2,2728,3.0
2,2353,4.0
2,21,1.0
2,235,3.0
2,2067,5.0
2,2501,5.0
2,2268,5.0
2,515,5.0
2,3255,4.0
2,2916,3.0
2,3471,5.0
2,1955,4.0
2,3678,3.0
2,3147,5.0
2,110,5.0
2,902,2.0
2,1090,2.0
3,2735,4.0
3,3552,5.0
3,3868,3.0
3,3671,5.0
3,1265,2.0
3,1198,5.0
3,2470,4.0
3,590,4.0
3,1378,5.0
3,104,4.0
4,1210,3.0
4,1196,2.0
4,2951,4.0
4,260,5.0
5,501,1.0
5,1635,4.0
5,1923,3.0
5,2384,3.0
5,3409,3.0
5,1643,3.0
5,1093,2.0
5,1500,3.0
5,41,4.0
5,593,4.0
5,1610,4.0
5,1788,3.0
5,1747,2.0
5,1885,4.0
5,1517,4.0
5,1250,5.0
5,562,4.0
5,2700,4.0
5,1721,1.0
5,1279,1.0
5,1089,5.0
5,1884,3.0
5,908,4.0
5,1966,2.0
5,3176,2.0
5,2333,4.0
5,296,4.0
5,1732,5.0
5,3744,1.0
5,3514,2.0
5,265,3.0
5,2762,3.0
5,2560,4.0
5,551,4.0
5,3006,3.0
5,412,2.0
5,3051,2.0
5,2395,5.0
5,461,3.0
5,16,3.0
6,1959,3.0
6,2082,3.0
6,1566,4.0
6,2406,5.0
6,3536,5.0
6,3578,4.0
6,914,5.0
6,1210,3.0
6,3072,4.0
6,838,4.0
6,3604,5.0
6,2017,3.0
6,2081,4.0
6,1035,5.0
7,1196,5.0
7,1221,4.0
7,861,4.0
7,442,4.0
7,2916,5.0
7,1610,5.0
8,1693,3.0
8,1711,3.0
8,150,4.0
8,1589,4.0
8,1120,4.0
8,589,5.0
8,1027,4.0
8,650,5.0
8,2490,2.0
8,230,4.0
8,3006,3.0
8,2320,2.0
8,1210,4.0
8,3267,5.0
8,3252,3.0
8,3500,3.0
8,3155,3.0
8,2324,3.0
8,2600,2.0
8,2336,3.0
8,2858,5.0
8,110,5.0
8,2006,3.0
8,2692,5.0
8,2427,5.0
8,1488,3.0
8,2028,5.0
8,1678,5.0
9,2278,4.0
9,1777,4.0
9,3270,3.0
9,1466,4.0
9,1912,3.0
9,50,4.0
9,3916,3.0
9,1721,5.0
9,412,3.0
9,2599,2.0
9,508,3.0
9,608,4.0
9,162,4.0
9,367,3.0
9,457,5.0
9,3484,2.0
9,2571,5.0
9,1343,3.0
9,2355,4.0
9,349,4.0
9,3717,3.0
10,3593,4.0
10,2125,5.0
10,3097,5.0
10,1676,4.0
10,2054,4.0
10,1293,4.0
10,1580,5.0
10,3591,5.0
10,597,4.0
10,1022,5.0
10,2405,4.0
10,902,5.0
10,2111,4.0
10,1441,5.0
10,918,5.0
10,1967,5.0
10,253,5.0
10,1198,5.0
10,2049,5.0
10,1012,3.0
10,7,4.0
10,3100,3.0
10,3198,3.0
10,3466,5.0
10,367,4.0
10,1831,5.0
10,2003,4.0
10,1148,5.0
10,2294,4.0
10,317,4.0
10,2291,4.0
10,3704,2.0
10,2000,5.0
10,2109,4.0
10,743,3.0
10,3489,4.0
10,3194,4.0
10,150,5.0
10,1256,3.0
10,671,3.0
10,1923,5.0
10,3039,4.0
10,3114,4.0
10,1283,3.0
10,1023,5.0
10,780,5.0
10,653,4.0
10,1073,5.0
10,3086,4.0
10,3812,4.0
10,1225,4.0
10,3809,5.0
10,2746,5.0
10,3501,5.0
10,1016,5.0
10,2002,4.0
10,3108,5.0
10,2693,5.0
10,2423,5.0
10,1278,5.0
10,1009,5.0
10,1377,3.0
10,2161,5.0
10,1513,3.0
10,1357,5.0
10,2791,4.0
10,1201,2.0
10,2040,4.0
10,784,3.0
10,2770,4.0
10,2657,4.0
10,1214,4.0
10,2041,3.0
10,2006,3.0
10,2096,5.0
10,2874,5.0
10,953,5.0
10,1375,4.0
10,2080,4.0
10,904,4.0
11,357,1.0
11,1278,3.0
11,1704,5.0
11,333,4.0
11,2396,2.0
11,1244,4.0
11,663,4.0
11,3448,4.0
11,2746,4.0
11,246,4.0
11,1546,4.0
11,85,1.0
11,50,5.0
11,590,3.0
11,2806,1.0
11,1732,4.0
11,110,3.0
11,231,3.0
11,1573,1.0
11,1682,1.0
11,249,3.0
11,454,2.0
11,2766,4.0
11,3396,1.0
11,764,5.0
11,1498,3.0
11,3418,5.0
12,3658,4.0
12,3362,3.0
12,919,5.0
12,1193,4.0
12,813,3.0
13,1210,4.0
13,1197,4.0
13,260,5.0
13,2028,4.0
13,648,3.0
13,1291,4.0
13,165,3.0
13,3699,3.0
13,380,3.0
13,1587,3.0
13,1049,3.0
13,1690,3.0
13,2916,3.0
13,1370,3.0
13,1331,4.0
13,919,4.0
13,110,4.0
13,1009,2.0
13,1374,4.0
13,2161,4.0
13,2105,3.0
13,589,5.0
14,2694,1.0
14,2997,5.0
14,2826,2.0
14,1263,5.0
14,3033,4.0
15,2496,3.0
15,2188,3.0
15,3566,2.0
15,442,3.0
15,1704,4.0
15,3717,3.0
15,2617,1.0
15,296,3.0
15,805,4.0
15,260,4.0
15,1193,4.0
15,356,4.0
15,3408,4.0
15,1213,4.0
15,527,4.0
15,6,4.0
15,1729,2.0
15,1198,4.0
15,2273,3.0
15,780,2.0
15,3160,2.0
15,3753,5.0
15,2278,2.0
15,2391,3.0
15,2770,1.0
15,648,4.0
15,2640,3.0
15,2001,4.0
15,1892,4.0
15,832,4.0
15,1625,4.0
15,2605,3.0
15,231,2.0
15,524,4.0
15,748,3.0
15,3178,4.0
15,2882,3.0
15,1644,3.0
15,2268,4.0
15,2427,2.0
16,2683,4.0
16,2975,5.0
16,2713,2.0
16,2643,3.0
16,2770,3.0
16,3175,4.0
16,2701,2.0
17,1527,5.0
17,3703,5.0
17,2355,4.0
17,3745,4.0
17,3713,4.0
17,1653,5.0
17,3148,5.0
17,2526,2.0
17,595,5.0
17,2311,4.0
17,2571,4.0
17,32,5.0
17,2455,4.0
17,1594,4.0
17,1215,4.0
17,529,4.0
17,590,4.0
17,2528,3.0
17,1779,2.0
17,3658,4.0
17,3700,4.0
17,457,5.0
17,1214,5.0
17,446,5.0
17,1097,3.0
17,866,5.0
17,2553,4.0
17,163,4.0
17,2009,3.0
17,2613,3.0
17,2908,3.0
17,2093,4.0
17,1127,4.0
17,3696,3.0
17,741,5.0
17,2501,4.0
17,318,5.0
17,3827,4.0
17,1077,5.0
17,2011,5.0
17,356,5.0
17,3594,3.0
18,1025,4.0
18,353,5.0
18,2193,5.0
18,1702,4.0
18,262,5.0
18,3578,4.0
18,2145,3.0
18,1246,5.0
18,95,1.0
18,2391,1.0
18,86,3.0
18,2194,4.0
18,592,4.0
18,260,5.0
18,485,2.0
18,1876,3.0
18,3247,4.0
18,222,3.0
18,3034,5.0
18,2421,1.0
18,2100,4.0
18,2085,4.0
18,364,5.0
18,3260,5.0
18,1196,5.0
18,586,4.0
18,1357,5.0
18,2739,5.0
18,1954,3.0
18,1960,5.0
18,2096,5.0
18,3668,3.0
18,3723,4.0
18,1690,1.0
18,616,5.0
18,1721,4.0
18,3704,4.0
18,588,5.0
18,1033,4.0
18,1379,3.0
18,527,5.0
18,1215,5.0
18,2087,4.0
18,3705,3.0
18,2336,5.0
18,1013,3.0
18,2764,4.0
18,838,4.0
18,110,5.0
18,1234,5.0
18,2617,1.0
18,377,2.0
18,1207,5.0
18,3398,5.0
18,2616,4.0
18,1527,4.0
18,2042,1.0
18,3252,4.0
18,34,5.0
18,2090,5.0
18,26,4.0
19,1258,5.0
19,318,4.0
19,1356,5.0
19,3701,3.0
19,356,4.0
19,330,4.0
19,1717,2.0
19,2949,4.0
19,2296,3.0
19,1214,2.0
19,1376,3.0
19,1982,5.0
19,2490,2.0
19,2648,4.0
19,588,4.0
19,329,5.0
19,377,4.0
19,2021,3.0
19,47,4.0
19,2692,5.0
19,1188,5.0
19,3081,4.0
19,223,5.0
19,3552,3.0
