SearchBayesianSkopt: Resuming 'PureSVDRecommender' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 91} - results: PRECISION: 0.0166490, PRECISION_RECALL_MIN_DEN: 0.1664899, RECALL: 0.1664899, MAP: 0.0062592, MAP_MIN_DEN: 0.0625924, MRR: 0.0625924, NDCG: 0.0863078, F1: 0.0302709, HIT_RATE: 0.1664899, ARHR_ALL_HITS: 0.0625924, NOVELTY: 0.0538212, AVERAGE_POPULARITY: 0.3497216, DIVERSITY_MEAN_INTER_LIST: 0.9642756, DIVERSITY_HERFINDAHL: 0.9963253, COVERAGE_ITEM: 0.3317479, COVERAGE_ITEM_HIT: 0.0618312, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.1664899, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1551628, SHANNON_ENTROPY: 8.4340949, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'num_factors': 91} - results:
CUTOFF: 5 - PRECISION: 0.2924708, PRECISION_RECALL_MIN_DEN: 0.2953340, RECALL: 0.1037181, MAP: 0.2139024, MAP_MIN_DEN: 0.2157317, MRR: 0.5172499, NDCG: 0.2243499, F1: 0.1531316, HIT_RATE: 0.7264051, ARHR_ALL_HITS: 0.7449982, NOVELTY: 0.0266798, AVERAGE_POPULARITY: 0.3653682, DIVERSITY_MEAN_INTER_LIST: 0.9794017, DIVERSITY_HERFINDAHL: 0.9956726, COVERAGE_ITEM: 0.2770511, COVERAGE_ITEM_HIT: 0.2140309, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.7264051, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1347732, SHANNON_ENTROPY: 8.2240369, 
CUTOFF: 10 - PRECISION: 0.2515376, PRECISION_RECALL_MIN_DEN: 0.2904286, RECALL: 0.1742069, MAP: 0.1535136, MAP_MIN_DEN: 0.1727876, MRR: 0.5358927, NDCG: 0.2382831, F1: 0.2058492, HIT_RATE: 0.8642630, ARHR_ALL_HITS: 0.8820818, NOVELTY: 0.0538212, AVERAGE_POPULARITY: 0.3497216, DIVERSITY_MEAN_INTER_LIST: 0.9642756, DIVERSITY_HERFINDAHL: 0.9963253, COVERAGE_ITEM: 0.3317479, COVERAGE_ITEM_HIT: 0.2657551, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.8642630, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1551628, SHANNON_ENTROPY: 8.4340949, 
CUTOFF: 50 - PRECISION: 0.1380276, PRECISION_RECALL_MIN_DEN: 0.4260157, RECALL: 0.4182262, MAP: 0.0563386, MAP_MIN_DEN: 0.1514920, MRR: 0.5433835, NDCG: 0.3173457, F1: 0.2075554, HIT_RATE: 0.9851538, ARHR_ALL_HITS: 1.0737878, NOVELTY: 0.2789127, AVERAGE_POPULARITY: 0.2933581, DIVERSITY_MEAN_INTER_LIST: 0.8899959, DIVERSITY_HERFINDAHL: 0.9977810, COVERAGE_ITEM: 0.5112961, COVERAGE_ITEM_HIT: 0.4268728, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9851538, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.2451944, SHANNON_ENTROPY: 9.0799714, 
CUTOFF: 1681 - PRECISION: 0.0140239, PRECISION_RECALL_MIN_DEN: 1.0000000, RECALL: 1.0000000, MAP: 0.0029248, MAP_MIN_DEN: 0.1881706, MRR: 0.5435703, NDCG: 0.4716075, F1: 0.0276599, HIT_RATE: 1.0000000, ARHR_ALL_HITS: 1.1537735, NOVELTY: 11.4002989, AVERAGE_POPULARITY: 0.0899596, DIVERSITY_MEAN_INTER_LIST: 0.0922620, DIVERSITY_HERFINDAHL: 0.9994025, COVERAGE_ITEM: 1.0000000, COVERAGE_ITEM_HIT: 0.8335315, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 1.0000000, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.9670957, SHANNON_ENTROPY: 10.7121394, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 135} - results: PRECISION: 0.0142100, PRECISION_RECALL_MIN_DEN: 0.1420997, RECALL: 0.1420997, MAP: 0.0050545, MAP_MIN_DEN: 0.0505454, MRR: 0.0505454, NDCG: 0.0711363, F1: 0.0258363, HIT_RATE: 0.1420997, ARHR_ALL_HITS: 0.0505454, NOVELTY: 0.0552124, AVERAGE_POPULARITY: 0.3008607, DIVERSITY_MEAN_INTER_LIST: 0.9707603, DIVERSITY_HERFINDAHL: 0.9969731, COVERAGE_ITEM: 0.3828775, COVERAGE_ITEM_HIT: 0.0541023, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.1420997, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1921746, SHANNON_ENTROPY: 8.7251853, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 237} - results: PRECISION: 0.0091198, PRECISION_RECALL_MIN_DEN: 0.0911983, RECALL: 0.0911983, MAP: 0.0037393, MAP_MIN_DEN: 0.0373933, MRR: 0.0373933, NDCG: 0.0497982, F1: 0.0165815, HIT_RATE: 0.0911983, ARHR_ALL_HITS: 0.0373933, NOVELTY: 0.0582097, AVERAGE_POPULARITY: 0.2175804, DIVERSITY_MEAN_INTER_LIST: 0.9794546, DIVERSITY_HERFINDAHL: 0.9978416, COVERAGE_ITEM: 0.4815696, COVERAGE_ITEM_HIT: 0.0428062, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.0911983, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.2643452, SHANNON_ENTROPY: 9.1691882, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 253} - results: PRECISION: 0.0083775, PRECISION_RECALL_MIN_DEN: 0.0837752, RECALL: 0.0837752, MAP: 0.0029652, MAP_MIN_DEN: 0.0296525, MRR: 0.0296525, NDCG: 0.0422717, F1: 0.0152319, HIT_RATE: 0.0837752, ARHR_ALL_HITS: 0.0296525, NOVELTY: 0.0587009, AVERAGE_POPULARITY: 0.2071840, DIVERSITY_MEAN_INTER_LIST: 0.9805675, DIVERSITY_HERFINDAHL: 0.9979528, COVERAGE_ITEM: 0.4928656, COVERAGE_ITEM_HIT: 0.0392390, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.0837752, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.2768945, SHANNON_ENTROPY: 9.2328555, 
SearchBayesianSkopt: New best config found. Config 4: {'num_factors': 50} - results: PRECISION: 0.0198303, PRECISION_RECALL_MIN_DEN: 0.1983033, RECALL: 0.1983033, MAP: 0.0084004, MAP_MIN_DEN: 0.0840037, MRR: 0.0840037, NDCG: 0.1105941, F1: 0.0360551, HIT_RATE: 0.1983033, ARHR_ALL_HITS: 0.0840037, NOVELTY: 0.0522754, AVERAGE_POPULARITY: 0.4137959, DIVERSITY_MEAN_INTER_LIST: 0.9511432, DIVERSITY_HERFINDAHL: 0.9950135, COVERAGE_ITEM: 0.2699168, COVERAGE_ITEM_HIT: 0.0588585, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.1983033, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1152517, SHANNON_ENTROPY: 8.0162117, 
